股票代码,股票名称,所属行业,所属概念
2988,豪美新材,"铝,工业金属,有色金属",
833,粤桂股份,"综合Ⅲ,综合,综合Ⅱ",
603303,得邦照明,"家用电器,照明设备Ⅲ,照明设备Ⅱ",
605006,山东玻纤,"玻纤制造,玻璃玻纤,建筑材料",
600724,宁波富达,"房产租赁经纪,房地产服务,房地产",
753,漳州发展,"综合Ⅲ,综合,综合Ⅱ",
688375,国博电子,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
2662,峰璟股份,"车身附件及饰件,汽车,汽车零部件",
600547,山东黄金,"黄金,贵金属,有色金属",
688183,生益电子,"元件,印制电路板,电子",
301216,万凯新材,"其他塑料制品,基础化工,塑料",
603127,昭衍新药,"医疗研发外包,医疗服务,医药生物",
688270,臻镭科技,"半导体,模拟芯片设计,电子",
2413,雷科防务,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
300580,贝斯特,"汽车,汽车零部件,底盘与发动机系统",
603093,南华期货,"期货,非银金融,多元金融",
2246,北化股份,"民爆制品,基础化工,化学制品",
300270,中威电子,"安防设备,计算机,计算机设备",
300746,汉嘉数智,"建筑装饰,工程咨询服务Ⅲ,工程咨询服务Ⅱ",
908,ST景峰,"化学制剂,化学制药,医药生物",
2168,*ST惠程,"配电设备,电力设备,电网设备",
2634,棒杰股份,"非运动服装,服装家纺,纺织服饰",
2713,*ST东易,"装修装饰Ⅲ,装修装饰Ⅱ,建筑装饰",
668,*ST荣控,"房地产,房地产开发,住宅开发",
920058,华洋赛车,"摩托车,摩托车及其他,汽车",
2024,ST易购,"综合电商,互联网电商,商贸零售",
1270,*ST铖昌,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
972,*ST中基,"农林牧渔,农产品加工,果蔬加工",
605196,华通线缆,"线缆部件及其他,电力设备,电网设备",
603261,*ST立航,"国防军工,航空装备Ⅲ,航空装备Ⅱ",
2424,ST百灵,"中药Ⅲ,中药Ⅱ,医药生物",
2620,ST瑞和,"装修装饰Ⅲ,装修装饰Ⅱ,建筑装饰",
2306,*ST云网,"餐饮,酒店餐饮,社会服务",
300674,宇信科技,"IT服务Ⅲ,IT服务Ⅱ,计算机",
600381,*ST春天,"食品饮料,食品加工,保健品",
600389,江山股份,"农药,农化制品,基础化工",
300057,万顺新材,"铝,工业金属,有色金属",
2192,融捷股份,"有色金属,锂,能源金属",
881,中广核技,"基础化工,化学制品,其他化学制品",
3026,中晶科技,"半导体材料,半导体,电子",
603360,百傲化学,"农药,农化制品,基础化工",
688450,光格科技,"通用设备,仪器仪表,机械设备",
300129,泰胜风能,"风电设备,风电零部件,电力设备",
601600,中国铝业,"铝,工业金属,有色金属",
301529,福赛科技,"车身附件及饰件,汽车,汽车零部件",
2064,华峰化学,"氨纶,基础化工,化学纤维",
612,焦作万方,"铝,工业金属,有色金属",
2342,巨力索具,"金属制品,通用设备,机械设备",
688163,赛伦生物,"其他生物制品,医药生物,生物制品",
2128,电投能源,"动力煤,煤炭开采,煤炭",
2181,粤 传 媒,"大众出版,出版,传媒",
2001,新 和 成,"食品及饲料添加剂,基础化工,化学制品",
